epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9065,0,119.248,0,0,0,0,0,0,238.556,0,0.00018,0.00018,0.00018
2,117.775,0,111.192,0,0,0,0,0,0,239.091,0,0.000375298,0.000375298,0.000375298
3,170.553,0,101.552,0,0,0,0,0,0,247.675,0,0.000565645,0.000565645,0.000565645
4,7465.76,0,92.2467,0,0,0,0,0,0,17102.5,0,0.000751043,0.000751043,0.000751043
5,19524.1,0,82.9673,0,0,0,0,0,0,199.325,0,0.00093149,0.00093149,0.00093149
6,30826.2,0,75.9192,0,0,0,0,0,0,199.279,0,0.00110699,0.00110699,0.00110699
7,43289.7,0,70.6343,0,0,0,0,0,0,199.876,0,0.00127753,0.00127753,0.00127753
8,54211,0,64.9065,0,0,0,0,0,0,178.37,0,0.00144313,0.00144313,0.00144313
9,59586.4,0,59.7477,0,0,0,0,0,0,156.975,0,0.00160378,0.00160378,0.00160378
10,59656.2,0,55.9923,0,0,0,0,0,0,127.481,0,0.00175948,0.00175948,0.00175948
11,59725.5,0,51.8481,0,0,0,0,0,0,48.9774,0,0.0017525,0.0017525,0.0017525
12,59792.1,0,48.5632,0,0,0,0,0,0,0.52827,0,0.00172775,0.00172775,0.00172775
13,59860.8,0,45.0809,0,0,0,0,0,0,56.2456,0,0.001703,0.001703,0.001703
14,59931.8,0,42.1525,0,0,0,0,0,0,93.9829,0,0.00167825,0.00167825,0.00167825
15,59995.8,0,39.1702,0,0,0,0,0,0,81.8184,0,0.0016535,0.0016535,0.0016535
16,60059.8,0,36.609,0,0,0,0,0,0,82.4885,0,0.00162875,0.00162875,0.00162875
17,60120,0,34.0064,0,0,0,0,0,0,45.4698,0,0.001604,0.001604,0.001604
18,60179.5,0,31.5264,0,0,0,0,0,0,29.0267,0,0.00157925,0.00157925,0.00157925
19,60246.8,0,29.1655,0,0,0,0,0,0,5620.42,0,0.0015545,0.0015545,0.0015545
20,65070.2,0,27.0933,0,0,0,0,0,0,19.2461,0,0.00152975,0.00152975,0.00152975
21,65130.7,0,25.0052,0,0,0,0,0,0,20.4645,0,0.001505,0.001505,0.001505
22,65183.3,0,23.1434,0,0,0,0,0,0,8.2894,0,0.00148025,0.00148025,0.00148025
23,65241.6,0,21.3295,0,0,0,0,0,0,22.5717,0,0.0014555,0.0014555,0.0014555
24,65300.5,0,19.805,0,0,0,0,0,0,17.5831,0,0.00143075,0.00143075,0.00143075
25,65358.2,0,18.2126,0,0,0,0,0,0,31.8938,0,0.001406,0.001406,0.001406
26,65412.8,0,16.903,0,0,0,0,0,0,34.2216,0,0.00138125,0.00138125,0.00138125
